"GID"	"ENV"	"Yield"
"399"	"Oat73"	"Env1"	6122.410199
"400"	"Oat39"	"Env3"	5925.771944
"401"	"Oat302"	"Env4"	5819.819407
"402"	"Oat262"	"Env4"	7576.880402
"403"	"Oat83"	"Env3"	5410.491035
"404"	"Oat301"	"Env1"	6894.164993
"405"	"Oat258"	"Env1"	3942.468756
"406"	"Oat89"	"Env4"	6920.462516
"407"	"Oat60"	"Env2"	6997.280717
"408"	"Oat307"	"Env3"	5876.895895
"409"	"Oat76"	"Env1"	6369.25914
"410"	"Oat75"	"Env4"	7367.054874
"411"	"Oat101"	"Env3"	5603.214705
"412"	"Oat287"	"Env4"	7186.6532
"413"	"Oat134"	"Env1"	6876.206148
"414"	"Oat240"	"Env3"	5889.099559
"415"	"Oat245"	"Env1"	6083.232562
"416"	"Oat283"	"Env3"	5588.909182
"417"	"Oat1"	"Env2"	6855.847996
"418"	"Oat119"	"Env3"	6445.257324
"419"	"Oat17"	"Env1"	5986.486579
"420"	"Oat235"	"Env3"	5872.704187
"421"	"Oat260"	"Env2"	6714.391725
"422"	"Oat209"	"Env1"	6478.008925
"423"	"Oat100"	"Env4"	6489.297421
"424"	"Oat80"	"Env3"	6183.429937
"425"	"Oat205"	"Env1"	6026.218345
"426"	"Oat311"	"Env1"	7234.520649
"427"	"Oat242"	"Env2"	7398.27643
"428"	"Oat29"	"Env1"	6494.035248
"429"	"Oat161"	"Env4"	6776.695134
"430"	"Oat124"	"Env1"	6378.120969
"431"	"Oat207"	"Env2"	6109.07056
"432"	"Oat291"	"Env1"	5383.659269
"433"	"Oat30"	"Env3"	5617.668721
"434"	"Oat155"	"Env3"	5732.088924
"435"	"Oat314"	"Env3"	5545.071508
"436"	"Oat12"	"Env4"	6737.866634
"437"	"Oat54"	"Env2"	5598.820026
"438"	"Oat244"	"Env4"	7049.431172
"439"	"Oat3"	"Env3"	6381.642715
"440"	"Oat250"	"Env2"	6909.824091
"441"	"Oat2"	"Env2"	5510.549172
